Season No.,Episode No.,Episode Name,Character,Line
1,1,Pilot Episode,Leonard,Hi.
1,1,Pilot Episode,Sheldon,Hi.
1,1,Pilot Episode,Leonard,Hi.
1,1,Pilot Episode,Sheldon,Hi.
1,1,Pilot Episode,Leonard,"We don’t mean to interrupt, we live across the hall."
1,1,Pilot Episode,Leonard,"Oh… uh… no… we don’t live together… um… we live together but in separate, heterosexual bedrooms."
1,1,Pilot Episode,Leonard,"Leonard, Sheldon."
1,1,Pilot Episode,Leonard,Hi.
1,1,Pilot Episode,Sheldon,Hi.
1,1,Pilot Episode,Leonard,"Hi. Well, uh, oh, welcome to the building."
1,1,Pilot Episode,Leonard,"Oh, great."
1,1,Pilot Episode,Sheldon,Great.
1,1,Pilot Episode,Leonard,"Great. Well, bye."
1,1,Pilot Episode,Sheldon,Bye.
1,1,Pilot Episode,Leonard,Bye.
1,1,Pilot Episode,Leonard,Should we have invited her for lunch?
1,1,Pilot Episode,Sheldon,No. We’re going to start Season Two of Battlestar Galactica.
1,1,Pilot Episode,Leonard,We already watched the Season Two DVDs.
1,1,Pilot Episode,Sheldon,Not with commentary.
1,1,Pilot Episode,Leonard,"I think we should be good neighbours, invite her over, make her feel welcome."
1,1,Pilot Episode,Sheldon,We never invited Louis-slash-Louise over.
1,1,Pilot Episode,Leonard,"Well, then that was wrong of us. We need to widen our circle."
1,1,Pilot Episode,Sheldon,I have a very wide circle. I have 212 friends on myspace.
1,1,Pilot Episode,Leonard,"Yes, and you’ve never met one of them."
1,1,Pilot Episode,Sheldon,That’s the beauty of it.
1,1,Pilot Episode,Leonard,I’m going to invite her over. We’ll have a nice meal and chat.
1,1,Pilot Episode,Sheldon,Chat? We don’t chat. At least not offline.
1,1,Pilot Episode,Leonard,"Well it’s not difficult, you just listen to what she says and then you say something appropriate in response."
1,1,Pilot Episode,Sheldon,To what end?
1,1,Pilot Episode,Leonard,Hi. Again.
1,1,Pilot Episode,Sheldon,Hi.
1,1,Pilot Episode,Leonard,Hi.
1,1,Pilot Episode,Leonard,"Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I’m undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I don’t have to tell you that, uh, a clean colon is just one less thing to worry about."
1,1,Pilot Episode,Sheldon,"Leonard, I’m not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements."
1,1,Pilot Episode,Leonard,"Uh, yes."
1,1,Pilot Episode,Leonard,Great.
1,1,Pilot Episode,Sheldon,"Well, today we tried masturbating for money."
1,1,Pilot Episode,Leonard,"Okay, well, make yourself at home."
1,1,Pilot Episode,Leonard,You’re very welcome.
1,1,Pilot Episode,Sheldon,Actually that’s my work.
1,1,Pilot Episode,Sheldon,"Yeah, well, it’s just some quantum mechanics, with a little string theory doodling around the edges. That part there, that’s just a joke, it’s a spoof of the Bourne-Oppenheimer approximation."
1,1,Pilot Episode,Sheldon,Yeah.
1,1,Pilot Episode,Leonard,"I have a board. If you like boards, this is my board."
1,1,Pilot Episode,Sheldon,"If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any men’s room at MIT, sure."
1,1,Pilot Episode,Leonard,What?
1,1,Pilot Episode,Sheldon,"Oh, come on. Who hasn’t seen this differential below “here I sit broken hearted?”"
1,1,Pilot Episode,Leonard,At least I didn’t have to invent twenty-six dimensions just to make the math come out.
1,1,Pilot Episode,Sheldon,"I didn’t invent them, they’re there."
1,1,Pilot Episode,Leonard,In what universe?
1,1,Pilot Episode,Sheldon,"In all of them, that is the point."
1,1,Pilot Episode,Sheldon,"Um, Penny, that’s where I sit."
1,1,Pilot Episode,Sheldon,"No, I sit there."
1,1,Pilot Episode,Sheldon,What’s the difference?
1,1,Pilot Episode,Leonard,Here we go.
1,1,Pilot Episode,Sheldon,"In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer it’s directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think I’ve made my point."
1,1,Pilot Episode,Sheldon,Well.
1,1,Pilot Episode,Leonard,Just sit somewhere else.
1,1,Pilot Episode,Sheldon,"Fine. (Wanders in circles, looking lost.)"
1,1,Pilot Episode,Leonard,"Sheldon, sit!"
1,1,Pilot Episode,Sheldon,Aaah!
1,1,Pilot Episode,Leonard,Well this is nice. We don’t have a lot of company over.
1,1,Pilot Episode,Sheldon,That’s not true. Koothrapali and Wolowitz come over all the time.
1,1,Pilot Episode,Leonard,"Yes I now, but…"
1,1,Pilot Episode,Sheldon,Tuesday night we played Klingon boggle until one in the morning.
1,1,Pilot Episode,Leonard,"Yes, I remember."
1,1,Pilot Episode,Sheldon,I resent you saying we don’t have company.
1,1,Pilot Episode,Leonard,I’m sorry.
1,1,Pilot Episode,Sheldon,That is an antisocial implication.
1,1,Pilot Episode,Leonard,I said I’m sorry.
1,1,Pilot Episode,Leonard,"Yeah, it’s like regular boggle but, in Klingon. That’s probably enough about us, tell us about you."
1,1,Pilot Episode,Sheldon,"Yes, it tells us that you participate in the mass cultural delusion that the Sun’s apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality."
1,1,Pilot Episode,Leonard,"I think what Sheldon’s trying to say, is that Sagittarius wouldn’t have been our first guess."
1,1,Pilot Episode,Sheldon,That’s interesting. Leonard can’t process corn.
1,1,Pilot Episode,Leonard,"Wu-uh, do you have some sort of a job?"
1,1,Pilot Episode,Leonard,"Oh, okay. I love cheesecake."
1,1,Pilot Episode,Sheldon,You’re lactose intolerant.
1,1,Pilot Episode,Leonard,"I don’t eat it, I just think it’s a good idea."
1,1,Pilot Episode,Leonard,So it’s based on your life?
1,1,Pilot Episode,Leonard,"Well, if that was a movie I would go see it."
1,1,Pilot Episode,Leonard,Well it sounds wonderful.
1,1,Pilot Episode,Sheldon,It took you four years to get through High School?
1,1,Pilot Episode,Leonard,Don’t.
1,1,Pilot Episode,Leonard,Should I say something? I feel like I should say something.
1,1,Pilot Episode,Sheldon,"You? No, you’ll only make it worse."
1,1,Pilot Episode,Sheldon,Yes.
1,1,Pilot Episode,Leonard,"No, it’s not crazy it’s, uh, uh, it’s a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didn’t make it worse."
1,1,Pilot Episode,Leonard,Our shower works.
1,1,Pilot Episode,Sheldon,Yes.
1,1,Pilot Episode,Leonard,No.
1,1,Pilot Episode,Sheldon,No?
1,1,Pilot Episode,Leonard,No.
1,1,Pilot Episode,Sheldon,No.
1,1,Pilot Episode,Leonard,It’s right down the hall.
1,1,Pilot Episode,Sheldon,Well this is an interesting development.
1,1,Pilot Episode,Leonard,How so?
1,1,Pilot Episode,Sheldon,It has been some time since we’ve had a woman take her clothes off in our apartment.
1,1,Pilot Episode,Leonard,"That’s not true, remember at Thanksgiving my grandmother with Alzheimer’s had that episode."
1,1,Pilot Episode,Sheldon,Point taken. It has been some time since we’ve had a woman take her clothes off after which we didn’t want to rip our eyes out.
1,1,Pilot Episode,Leonard,The worst part was watching her carve that turkey.
1,1,Pilot Episode,Sheldon,"So, what exactly are you trying to accomplish here?"
1,1,Pilot Episode,Leonard,Excuse me?
1,1,Pilot Episode,Sheldon,That woman in there’s not going to have sex with you.
1,1,Pilot Episode,Leonard,Well I’m not trying to have sex with her.
1,1,Pilot Episode,Sheldon,"Oh, good. Then you won’t be disappointed."
1,1,Pilot Episode,Leonard,"What makes you think she wouldn’t have sex with me, I’m a male and she’s a female?"
1,1,Pilot Episode,Sheldon,"Yes, but not of the same species."
1,1,Pilot Episode,Leonard,"I’m not going to engage in hypotheticals here, I’m just trying to be a good neighbour."
1,1,Pilot Episode,Sheldon,"Oh, of course."
1,1,Pilot Episode,Leonard,That’s not to say that if a carnal relationship were to develop that I wouldn’t participate. However briefly.
1,1,Pilot Episode,Sheldon,Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?
1,1,Pilot Episode,Leonard,It’s Darth Vader shampoo. (There is a knock on the door.) Luke Skywalker’s the conditioner.
1,1,Pilot Episode,Leonard,See what?
1,1,Pilot Episode,Leonard,This is not a good time.
1,1,Pilot Episode,Leonard,"That’s great, you guys have to go."
1,1,Pilot Episode,Leonard,It’s just not a good time.
1,1,Pilot Episode,Sheldon,Leonard has a lady over.
1,1,Pilot Episode,Leonard,"No. And she’s not a lady, she’s just a new neighbour."
1,1,Pilot Episode,Leonard,Uh-huh.
1,1,Pilot Episode,Leonard,I’m not anticipating coitus.
1,1,Pilot Episode,Leonard,Can we please stop saying coitus?
1,1,Pilot Episode,Sheldon,Technically that would be coitus interruptus.
1,1,Pilot Episode,Leonard,"Come on, I’ll show you the trick with the shower."
1,1,Pilot Episode,Leonard,"Save it for your blog, Howard."
1,1,Pilot Episode,Leonard,"Uh, there it goes, it sticks, I’m sorry."
1,1,Pilot Episode,Leonard,"You’re welcome, oh, you’re going to step right, okay, I’ll…."
1,1,Pilot Episode,Leonard,The hair products are Sheldon’s.
1,1,Pilot Episode,Leonard,"A favour? Sure, you can ask me a favour, I would do you a favour for you."
1,1,Pilot Episode,Leonard,"Oh, I’ll probably say yes."
1,1,Pilot Episode,Leonard,Wow.
1,1,Pilot Episode,Sheldon,I really think we should examine the chain of causality here.
1,1,Pilot Episode,Leonard,Must we?
1,1,Pilot Episode,Sheldon,"Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman’s ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?"
1,1,Pilot Episode,Leonard,"She asked me to do her a favour, Sheldon."
1,1,Pilot Episode,Sheldon,"Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause."
1,1,Pilot Episode,Leonard,Which is?
1,1,Pilot Episode,Sheldon,You think with your penis.
1,1,Pilot Episode,Leonard,That’s a biological impossibility and you didn’t have to come.
1,1,Pilot Episode,Sheldon,"Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why can’t she get her own TV."
1,1,Pilot Episode,Leonard,"Come on, you know how it is with break-ups."
1,1,Pilot Episode,Sheldon,No I don’t. And neither do you.
1,1,Pilot Episode,Leonard,"Wuh, I, I broke up with Joyce Kim."
1,1,Pilot Episode,Sheldon,"You did not break up with Joyce Kim, she defected to North Korea."
1,1,Pilot Episode,Leonard,To mend her broken heart. This situation is much less complicated. There’s some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.
1,1,Pilot Episode,Sheldon,So we get to have a scene with him?
1,1,Pilot Episode,Leonard,"No, Sheldon, there’s not going to be a scene. There’s two of us and one of him."
1,1,Pilot Episode,Sheldon,"Leonard, the two of us can’t even carry a TV."
1,1,Pilot Episode,Leonard,"Hi, I’m Leonard, this is Sheldon."
1,1,Pilot Episode,Sheldon,Hello.
1,1,Pilot Episode,Leonard,"What did I just…. Uh, we’re here to pick up Penny’s TV."
1,1,Pilot Episode,Sheldon,"Okay, thanks for your time."
1,1,Pilot Episode,Leonard,We’re not going to give up just like that.
1,1,Pilot Episode,Sheldon,"Leonard, the TV is in the building, we’ve been denied access to the building, ergo we are done."
1,1,Pilot Episode,Leonard,"Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang."
1,1,Pilot Episode,Sheldon,My apologies. What’s your plan.
1,1,Pilot Episode,Sheldon,It’s just a privilege to watch your mind at work.
1,1,Pilot Episode,Leonard,"Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building."
1,1,Pilot Episode,Sheldon,What do you think their combined IQ is?
1,1,Pilot Episode,Leonard,Just grab the door.
1,1,Pilot Episode,Leonard,This is it. (Knocks.) I’ll do the talking.
1,1,Pilot Episode,Sheldon,"Good thinking, I’ll just be the muscle."
1,1,Pilot Episode,Leonard,"I’m Leonard, this is Sheldon."
1,1,Pilot Episode,Sheldon,From the intercom.
1,1,Pilot Episode,Leonard,Oh. We’re scientists.
1,1,Pilot Episode,Sheldon,Tell him about our IQ.
1,1,Pilot Episode,Sheldon,Leonard.
1,1,Pilot Episode,Leonard,What?
1,1,Pilot Episode,Sheldon,My mom bought me those pants.
1,1,Pilot Episode,Leonard,I’m sorry.
1,1,Pilot Episode,Sheldon,You’re going to have to call her.
1,1,Pilot Episode,Leonard,"Sheldon, I’m so sorry I dragged you through this."
1,1,Pilot Episode,Sheldon,"It’s okay. It wasn’t my first pantsing, and it won’t be my last."
1,1,Pilot Episode,Leonard,"And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex."
1,1,Pilot Episode,Sheldon,Well you got me out of my pants.
1,1,Pilot Episode,Leonard,"Anyway, I’ve learned my lesson. She’s out of my league, I’m done with her, I’ve got my work, one day I’ll win the Nobel Prize and then I’ll die alone."
1,1,Pilot Episode,Sheldon,"Don’t think like that, you’re not going to die alone."
1,1,Pilot Episode,Leonard,"Thank you Sheldon, you’re a good friend."
1,1,Pilot Episode,Sheldon,And you’re certainly not going to win a Nobel Prize.
1,1,Pilot Episode,Leonard,We’re home.
1,1,Pilot Episode,Leonard,"Well, your ex-boyfriend sends his regards and I think the rest is fairly self-explanatory."
1,1,Pilot Episode,Leonard,"No, it was a valid hypothesis."
1,1,Pilot Episode,Sheldon,That was a valid hypothesis? What is happening to you?
1,1,Pilot Episode,Leonard,Really? Great.
1,1,Pilot Episode,Sheldon,"Thank you. You’re not done with her, are you?"
1,1,Pilot Episode,Leonard,Our babies will be smart and beautiful.
1,1,Pilot Episode,Sheldon,Not to mention imaginary.
1,1,Pilot Episode,Leonard,Is Thai food okay with you Penny?
1,1,Pilot Episode,Sheldon,"We can’t have Thai food, we had Indian for lunch."
1,1,Pilot Episode,Sheldon,They’re both curry based cuisines.
1,1,Pilot Episode,Sheldon,They would be gastronomically redundant. I can see we’re going to have to spell out everything for this girl.
1,1,Pilot Episode,Sheldon,"I don’t know what your odds are in the world as a whole, but as far as the population of this car goes, you’re a veritable Mack Daddy."
1,2,The Big Bran Hypothesis,Leonard,"There you go, Pad Thai, no peanuts."
1,2,The Big Bran Hypothesis,Leonard,"Uh, I’m not sure, everyone keep an eye on Howard in case he starts to swell up."
1,2,The Big Bran Hypothesis,Sheldon,"Since it’s not bee season, you can have my epinephrine."
1,2,The Big Bran Hypothesis,Sheldon,"You don’t need chopsticks, this is Thai food."
1,2,The Big Bran Hypothesis,Leonard,Here we go.
1,2,The Big Bran Hypothesis,Sheldon,"Thailand has had the fork since the latter half of the nineteenth century. Interestingly they don’t actually put the fork in their mouth, they use it to put the food on a spoon which then goes into their mouth."
1,2,The Big Bran Hypothesis,Leonard,"Ask him for a napkin, I dare you. (There is a knock on the door.) I’ll get it."
1,2,The Big Bran Hypothesis,Leonard,"Oh, hi Penny."
1,2,The Big Bran Hypothesis,Leonard,No.
1,2,The Big Bran Hypothesis,Leonard,"They’re not going anywhere. (Closes door, staying in hallway.) So, you’re coming home from work. That’s great. How was work."
1,2,The Big Bran Hypothesis,Leonard,"So, you sort of act as a carbohydrate delivery system."
1,2,The Big Bran Hypothesis,Leonard,Yes.
1,2,The Big Bran Hypothesis,Sheldon,Hi.
1,2,The Big Bran Hypothesis,Sheldon,"Don’t take it personally, it’s his pathology, he can’t talk to women."
1,2,The Big Bran Hypothesis,Leonard,"So, there’s gonna be some furniture delivered?"
1,2,The Big Bran Hypothesis,Leonard,"Yeah, no problem."
1,2,The Big Bran Hypothesis,Leonard,"Penny, wait."
1,2,The Big Bran Hypothesis,Leonard,"Um, if you don’t have any other plans, do you want to join us for Thai food and a Superman movie marathon?"
1,2,The Big Bran Hypothesis,Sheldon,"You’re kidding, right?"
1,2,The Big Bran Hypothesis,Sheldon,You realise that scene was rife with scientific inaccuracy.
1,2,The Big Bran Hypothesis,Sheldon,"Oh no, let’s assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now travelling at approximately 120 miles per hour, hits them, and is immediately sliced into three equal pieces."
1,2,The Big Bran Hypothesis,Leonard,"Unless, Superman matches her speed and decelerates."
1,2,The Big Bran Hypothesis,Sheldon,"In what space, sir, in what space? She’s two feet above the ground. Frankly, if he really loved her, he’d let her hit the pavement. It would be a more merciful death."
1,2,The Big Bran Hypothesis,Leonard,"Excuse me, your entire argument is predicated on the assumption that Superman’s flight is a feat of strength."
1,2,The Big Bran Hypothesis,Sheldon,"Are you listening to yourself, it is well established that Superman’s flight is a feat of strength, it is an extension of his ability to leap tall buildings, an ability he derives from Earth’s yellow Sun."
1,2,The Big Bran Hypothesis,Sheldon,"Uh, a combination of the moon’s solar reflection and the energy storage capacity of Kryptonian skin cells."
1,2,The Big Bran Hypothesis,Leonard,"I have 26 hundred comic books in there, I challenge you to find a single reference to Kryptonian skin cells."
1,2,The Big Bran Hypothesis,Sheldon,Challenge accepted. (Tries door.) We’re locked out.
1,2,The Big Bran Hypothesis,Leonard,"Okay, her apartment’s on the fourth floor but the elevator’s broken so you’re going to have to (delivery man leaves) oh, you’re just going to be done, okay, cool, thanks. I guess we’ll just bring it up ourselves."
1,2,The Big Bran Hypothesis,Sheldon,I hardly think so.
1,2,The Big Bran Hypothesis,Leonard,Why not?
1,2,The Big Bran Hypothesis,Sheldon,"Well, we don’t have a dolly, or lifting belts, or any measurable upper body strength."
1,2,The Big Bran Hypothesis,Leonard,"We don’t need strength, we’re physicists. We are the intellectual descendents of Archimedes. Give me a fulcrum and a lever and I can move the Earth, it’s just a matter… (starts to move package) I don’t have this… I don’t have this I don’t have this."
1,2,The Big Bran Hypothesis,Sheldon,Archimedes would be so proud.
1,2,The Big Bran Hypothesis,Leonard,Do you have any ideas?
1,2,The Big Bran Hypothesis,Sheldon,"Yes, but they all involve a green lantern and a power ring."
1,2,The Big Bran Hypothesis,Leonard,"Easy, easy (package falls) Okay! Now we’ve got an inclined plane. The force required to lift is reduced by the sine of the angle of the stairs, call it thirty degrees, so about half."
1,2,The Big Bran Hypothesis,Sheldon,Exactly half.
1,2,The Big Bran Hypothesis,Sheldon,What’s your formula for the corner.
1,2,The Big Bran Hypothesis,Leonard,"What? Oh, okay, uh, okay, yeah, no problem, just come up here and help me pull and turn."
1,2,The Big Bran Hypothesis,Sheldon,"Ah, gravity, thou art a heartless bitch."
1,2,The Big Bran Hypothesis,Sheldon,You do understand that our efforts here will in no way increase the odds of you having sexual congress with this woman?
1,2,The Big Bran Hypothesis,Leonard,Men do things for women without expecting sex.
1,2,The Big Bran Hypothesis,Sheldon,"Yeah, those are men who just had sex."
1,2,The Big Bran Hypothesis,Leonard,"I’m doing this to be a good neighbour. In any case, there’s no way it could lower the odds."
1,2,The Big Bran Hypothesis,Leonard,"Almost there, almost there, almost there. (Lets go of package, it starts to slip down)"
1,2,The Big Bran Hypothesis,Sheldon,"No we’re not, no we’re not, no we’re not."
1,2,The Big Bran Hypothesis,Sheldon,"Watch your fingers. Watch your fingers. Oh God, my fingers!"
1,2,The Big Bran Hypothesis,Leonard,You okay?
1,2,The Big Bran Hypothesis,Sheldon,"No, it hurt… (looking around) Great Caesar’s Ghost, look at this place?"
1,2,The Big Bran Hypothesis,Leonard,So Penny’s a little messy.
1,2,The Big Bran Hypothesis,Sheldon,"A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. I’m just inferring that this is a couch, because the evidence suggests the coffee table’s having a tiny garage sale."
1,2,The Big Bran Hypothesis,Leonard,"Did it ever occur to you that not everyone has the compulsive need to sort, organise and label the entire world around them?"
1,2,The Big Bran Hypothesis,Sheldon,No.
1,2,The Big Bran Hypothesis,Leonard,"Well they don’t. Hard as it may be for you to believe, most people don’t sort their breakfast cereal numerically by fibre content."
1,2,The Big Bran Hypothesis,Sheldon,"Excuse me, but I think we’ve both found that helpful at times."
1,2,The Big Bran Hypothesis,Leonard,"Come on, we should go."
1,2,The Big Bran Hypothesis,Sheldon,Hang on.
1,2,The Big Bran Hypothesis,Leonard,What are you doing?
1,2,The Big Bran Hypothesis,Sheldon,Straightening up.
1,2,The Big Bran Hypothesis,Leonard,"Sheldon, this is not your home."
1,2,The Big Bran Hypothesis,Sheldon,"This is not anyone’s home, this is a swirling vortex of entropy."
1,2,The Big Bran Hypothesis,Leonard,"When the transvestite lived here, you didn’t care how he kept the place."
1,2,The Big Bran Hypothesis,Sheldon,"Because it was immaculate, I mean, you open that man’s closet, it was left to right, evening gowns, cocktail dresses, then his police uniforms."
1,2,The Big Bran Hypothesis,Leonard,What were you doing in his closet?
1,2,The Big Bran Hypothesis,Sheldon,I helped run some cable for a webcam.
1,2,The Big Bran Hypothesis,Leonard,"Oh, hey Penny, this just arrived, we just brought this up, just now."
1,2,The Big Bran Hypothesis,Sheldon,(sucks in breath)
1,2,The Big Bran Hypothesis,Leonard,No.
1,2,The Big Bran Hypothesis,Sheldon,No?
1,2,The Big Bran Hypothesis,Leonard,No.
1,2,The Big Bran Hypothesis,Sheldon,No.
1,2,The Big Bran Hypothesis,Leonard,"Well, we’ll get out of your hair."
1,2,The Big Bran Hypothesis,Sheldon,"Penny, I just want you to know that, you don’t have to live like this. I’m here for you."
1,2,The Big Bran Hypothesis,Leonard,It’s a joke.
1,2,The Big Bran Hypothesis,Leonard,"Yeah, he didn’t tell it right."
1,2,The Big Bran Hypothesis,Leonard,Sheldon?
1,2,The Big Bran Hypothesis,Leonard,Sheldon? Hello?
1,2,The Big Bran Hypothesis,Leonard,Sheldon!
1,2,The Big Bran Hypothesis,Sheldon,Sssshhhh! Penny’s sleeping.
1,2,The Big Bran Hypothesis,Leonard,"Are you insane, you can’t just break into a woman’s apartment in the middle of the night and clean."
1,2,The Big Bran Hypothesis,Sheldon,"I had no choice. I couldn’t sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway was… this."
1,2,The Big Bran Hypothesis,Leonard,"Do you realise that if Penny wakes up, there is no reasonable explanation as to why we’re here?"
1,2,The Big Bran Hypothesis,Sheldon,I just gave you a reasonable explanation.
1,2,The Big Bran Hypothesis,Leonard,"No, no. You gave me an explanation, it’s reasonableness will be determined by a jury of your peers."
1,2,The Big Bran Hypothesis,Sheldon,Don’t be ridiculous. I have no peers.
1,2,The Big Bran Hypothesis,Leonard,"Sheldon, we have to get out of here."
1,2,The Big Bran Hypothesis,Sheldon,You might want to speak in a lower register.
1,2,The Big Bran Hypothesis,Leonard,What?
1,2,The Big Bran Hypothesis,Sheldon,"Evolution has made women sensitive to high pitched noises while they sleep, so that they’ll be roused by a crying baby. If you want to avoid waking her, speak in a lower register."
1,2,The Big Bran Hypothesis,Leonard,That’s ridiculous. (Penny snores again.)
1,2,The Big Bran Hypothesis,Sheldon,"No, (lowering his voice dramatically,) that’s ridiculous."
1,2,The Big Bran Hypothesis,Sheldon,I am not leaving until I’m done.
1,2,The Big Bran Hypothesis,Leonard,O-o-o-oh! (Collapses against wall).
1,2,The Big Bran Hypothesis,Sheldon,"If you have time to lean, you have time to clean."
1,2,The Big Bran Hypothesis,Leonard,"Oh, what the hell."
1,2,The Big Bran Hypothesis,Sheldon,Morning.
1,2,The Big Bran Hypothesis,Leonard,Morning.
1,2,The Big Bran Hypothesis,Sheldon,"I have to say, I slept splendidly. Granted, not long, but just deeply and well."
1,2,The Big Bran Hypothesis,Leonard,I’m not surprised. A well known folk cure for insomnia is to break into your neighbour’s apartment and clean.
1,2,The Big Bran Hypothesis,Sheldon,Sarcasm?
1,2,The Big Bran Hypothesis,Leonard,You think?
1,2,The Big Bran Hypothesis,Sheldon,"Granted, my methods may have been somewhat unorthodox, but I think the end result will be a measurable enhancement of Penny’s quality of life."
1,2,The Big Bran Hypothesis,Leonard,"You know what, you’ve convinced me, maybe tonight we should sneak in and shampoo her carpet."
1,2,The Big Bran Hypothesis,Sheldon,You don’t think that crosses a line?
1,2,The Big Bran Hypothesis,Leonard,"Yes! For God’s sake, Sheldon, do I have to hold up a sarcasm sign every time I open my mouth."
1,2,The Big Bran Hypothesis,Sheldon,You have a sarcasm sign?
1,2,The Big Bran Hypothesis,Leonard,"No, I do not have a sarcasm sign."
1,2,The Big Bran Hypothesis,Sheldon,"Do you want some cereal. I’m feeling so good today I’m going to choose from the low fibre end of the shelf. Hello, Honey Puffs."
1,2,The Big Bran Hypothesis,Leonard,Penny’s up.
1,2,The Big Bran Hypothesis,Leonard,How did she know it was us?
1,2,The Big Bran Hypothesis,Sheldon,I may have left a suggested organisational schematic for her bedroom closet.
1,2,The Big Bran Hypothesis,Leonard,"God, this is going to be bad."
1,2,The Big Bran Hypothesis,Sheldon,"Goodbye, Honey Puffs, hello Big Bran."
